Posição,Jogador,País,Posição Campo,Assistências,Finalizações certas,Finalizações,Finalizações convertidas Porcentagem (%),Chutes na área,Chutes fora da área,Cabeceios a gol,GE,Eficiência em GE,Escanteios
1,Bruno Guimaraes,BRA,MF,3,0,2,0,0,2,0,0.02,0x,3
1,Michael Olise,FRA,FW,3,2,5,0,2,3,0,0.57,0x,5
1,Alexander Isak,SWE,FW,3,3,4,25,3,1,0,0.32,3.15x,0
4,Breel Embolo,SUI,FW,2,3,7,14,6,1,1,1.95,0.51x,0
4,Chris Wood,NZL,FW,2,2,5,0,3,2,2,0.47,0x,0
4,Joshua Kimmich,GER,DF,2,0,0,0,0,0,0,0.0,0x,7
4,Denzel Dumfries,NED,DF,2,0,0,0,0,0,0,0.0,0x,0
4,Ryan Gravenberch,NED,MF,2,0,1,0,0,1,0,0.04,0x,0
4,Deniz Undav,GER,FW,2,4,4,75,3,1,0,1.37,2.19x,0
4,Martin Odegaard,NOR,MF,2,1,4,0,2,2,0,0.3,0x,4
4,Roberto Alvarado,MEX,FW,2,0,2,0,1,1,0,0.1,0x,3
4,Julio Enciso,PAR,FW,2,0,3,0,2,1,0,0.3,0x,1
4,Brahim Diaz,MAR,FW,2,1,5,0,4,1,0,0.29,0x,1
4,Nathan Saliba,CAN,MF,2,1,3,33,1,2,1,0.3,3.36x,0
4,Mohamed Salah,EGY,FW,2,3,6,17,4,2,1,0.76,1.31x,6
16,Mostafa Zico,EGY,MF,1,2,6,17,5,1,2,0.57,1.74x,0
16,Achraf Hakimi,MAR,DF,1,3,10,10,4,6,0,0.78,1.29x,9
16,Brandon Thomas Asante,GHA,FW,1,0,0,0,0,0,0,0.0,0x,0
16,Hannibal Mejbri,TUN,MF,1,0,2,0,0,2,0,0.04,0x,1
16,Jean Kevin Duverne,HAI,DF,1,0,1,0,1,0,0,0.03,0x,0
16,Chadi Riad,MAR,DF,1,0,1,0,1,0,1,0.12,0x,0
16,Soufiane Rahimi,MAR,FW,1,1,2,50,2,0,1,0.22,4.59x,0
16,Iliman Ndiaye,SEN,FW,1,0,0,0,0,0,0,0.0,0x,0
16,Tshepang Moremi,RSA,FW,1,0,0,0,0,0,0,0.0,0x,0
16,Promise David,CAN,FW,1,3,4,25,3,1,1,0.68,1.46x,0
16,Nicolas Jackson,SEN,FW,1,1,4,0,4,0,1,0.27,0x,0
16,Mohamed Hany,EGY,DF,1,0,3,0,0,3,0,0.07,0x,0
16,Sadio Mane,SEN,FW,1,1,1,0,0,1,0,0.03,0x,0
16,Wilfried Singo,CIV,DF,1,0,2,0,2,0,0,0.14,0x,0
16,Crysencio Summerville,NED,FW,1,2,2,100,1,1,0,0.16,12.33x,0
16,Joao Cancelo,POR,DF,1,0,1,0,0,1,0,0.01,0x,1
