Posição,Jogador,País,Posição Campo,Gols contra,Perdas de bola forçadas,Pressões defensivas exercidas,Pressões defensivas exercidas diretamente
1,Aymen Hussein,IRQ,FW,1,5,60,3
1,Hassan Altambakti,KSA,DF,1,4,25,7
1,Yazan Alarab,JOR,DF,1,4,23,13
1,Mohamed Manai,QAT,FW,1,2,52,3
1,Mahmoud Abunada,QAT,GK,1,0,0,0
1,Yassine Bounou,MAR,GK,1,0,0,0
1,Mohamed Hany,EGY,DF,1,3,36,6
1,Damian Bobadilla,PAR,MF,1,2,46,10
1,Abduvohid Nematov,UZB,GK,1,0,0,0
1,Cameron Burgess,AUS,DF,1,2,14,9
1,Miro Muheim,SUI,DF,1,0,0,0
12,Ricardo Rodriguez,SUI,DF,0,15,24,6
12,Mert Gunok,TUR,GK,0,0,0,0
12,Nico Williams,ESP,FW,0,2,15,0
12,Taha Ali,SWE,FW,0,2,3,0
12,Abdulla Abdullaev,UZB,DF,0,7,22,7
12,Mohamed Toure,AUS,FW,0,3,57,4
12,Gustaf Lagerbielke,SWE,DF,0,6,22,10
12,Alex Paulsen,NZL,GK,0,0,0,0
12,Stjepan Radeljic,BIH,DF,0,1,4,2
12,Denis Zakaria,SUI,MF,0,6,15,9
12,Anthony Elanga,SWE,FW,0,0,3,1
12,Dennis Hadzikadunic,BIH,DF,0,1,4,2
12,Alessandro Circati,AUS,DF,0,7,25,14
12,Scott Mckenna,SCO,DF,0,3,3,3
12,Jacob Widell Zetterstrom,SWE,GK,0,0,0,0
12,Deniz Gul,TUR,FW,0,0,5,0
12,Lukas Hornicek,CZE,GK,0,0,0,0
12,Lukas Cerv,CZE,MF,0,6,27,11
12,Joe Bell,NZL,MF,0,26,71,18
12,Remo Freuler,SUI,MF,0,8,81,15
12,Dostonbek Khamdamov,UZB,MF,0,4,16,2
12,Botirali Ergashev,UZB,GK,0,0,0,0
12,Umar Eshmurodov,UZB,DF,0,0,0,0
12,Paul Okon Engstler,AUS,MF,0,5,63,5
12,Aymeric Laporte,ESP,DF,0,3,12,1
12,Michal Sadilek,CZE,MF,0,10,75,4
12,Kerem Akturkoglu,TUR,FW,0,10,38,2
12,Lawrence Shankland,SCO,FW,0,4,61,9
12,Marvin Keller,SUI,GK,0,0,0,0
12,Borja Iglesias,ESP,FW,0,0,0,0
12,Noah Okafor,SUI,FW,0,0,0,0
12,Oguz Aydin,TUR,FW,0,0,0,0
12,Viktor Gyokeres,SWE,FW,0,7,34,2
12,Dani Olmo,ESP,FW,0,5,26,3
12,Khojiakbar Alijonov,UZB,DF,0,0,24,2
12,Viktor Johansson,SWE,GK,0,0,0,0
12,Adam Hlozek,CZE,FW,0,6,92,7
12,Cristian Volpato,AUS,FW,0,2,11,0
12,Kenny Mclean,SCO,MF,0,4,31,6
12,Yvon Mvogo,SUI,GK,0,0,0,0
12,Samet Akaydin,TUR,DF,0,0,0,0
12,Mikel Oyarzabal,ESP,FW,0,11,47,4
12,Kenan Yildiz,TUR,FW,0,3,13,3
12,Samed Bazdar,BIH,FW,0,2,6,2
12,David Zima,CZE,DF,0,0,4,1
12,Azizbek Amonov,UZB,FW,0,1,4,0
12,Mattias Svanberg,SWE,MF,0,0,2,0
12,Michel Aebischer,SUI,MF,0,8,49,6
12,Gabriel Gudmundsson,SWE,DF,0,12,30,8
12,Orkun Kokcu,TUR,MF,0,3,16,2
12,Tim Payne,NZL,DF,0,2,37,6
12,Gregor Kobel,SUI,GK,0,0,0,0
12,Alex Rufer,NZL,MF,0,0,0,0
12,Amir Hadziahmetovic,BIH,MF,0,0,4,0
12,Eray Coemert,SUI,DF,0,0,0,0
12,Gavi,ESP,MF,0,4,27,8
12,Jan Kuchta,CZE,FW,0,0,0,0
12,Lukas Provod,CZE,MF,0,9,49,5
12,Jakhongir Urozov,UZB,DF,0,0,2,1
12,Hugo Sochurek,CZE,MF,0,0,0,0
12,Kai Trewin,AUS,DF,0,0,0,0
12,Jindrich Stanek,CZE,GK,0,0,0,0
12,Tete Yengi,AUS,FW,0,0,9,2
12,Max Crocombe,NZL,GK,0,0,0,0
12,Ugurcan Cakir,TUR,GK,0,0,0,0
12,Ferdi Kadioglu,TUR,DF,0,0,16,7
12,Martin Zubimendi,ESP,MF,0,0,0,0
12,Merih Demiral,TUR,DF,0,3,9,3
12,Scott Mctominay,SCO,MF,0,11,103,6
12,Hjalmar Ekdal,SWE,DF,0,0,0,0
12,Djibril Sow,SUI,MF,0,4,30,4
12,Pau Cubarsi,ESP,DF,0,2,4,1
12,Rodri,ESP,MF,0,5,14,4
12,Ladislav Krejci,CZE,DF,0,2,30,10
12,Michael Boxall,NZL,DF,0,4,15,10
12,Isak Hien,SWE,DF,0,13,8,5
12,Eldor Shomurodov,UZB,FW,0,8,63,6
12,Kristoffer Nordfeldt,SWE,GK,0,0,0,0
12,Nishan Velupillay,AUS,FW,0,1,57,4
12,Can Uzun,TUR,FW,0,3,5,3
12,Esmir Bajraktarevic,BIH,FW,0,10,70,7
12,Jaroslav Zeleny,CZE,DF,0,6,36,3
12,Kosta Barbarouses,NZL,FW,0,0,0,0
12,Altay Bayindir,TUR,GK,0,0,0,0
12,Ross Stewart,SCO,FW,0,0,5,0
12,Ruben Vargas,SUI,FW,0,10,45,14
12,Ryan Thomas,NZL,MF,0,2,14,2
12,Dzenis Burnic,BIH,MF,0,0,6,0
12,Pedro Porro,ESP,DF,0,6,9,5
12,Nestory Irankunda,AUS,FW,0,6,45,0
12,Baris Alper Yilmaz,TUR,FW,0,3,20,2
12,Tomas Holes,CZE,DF,0,8,37,7
12,Tyler Fletcher,SCO,MF,0,0,0,0
12,Oston Urunov,UZB,MF,0,2,35,0
12,Abdulkerim Bardakci,TUR,DF,0,2,14,8
12,Carl Starfelt,SWE,DF,0,0,0,0
12,Ben Gannon Doak,SCO,FW,0,13,71,6
12,Pedri,ESP,MF,0,29,86,12
12,Nikola Katic,BIH,DF,0,12,36,14
12,Pavel Sulc,CZE,FW,0,6,104,12
12,Johan Manzambi,SUI,MF,0,11,62,10
12,Manuel Akanji,SUI,DF,0,8,18,8
12,Rustam Ashurmatov,UZB,DF,0,15,25,7
12,Dan Ndoye,SUI,FW,0,12,33,4
12,Alex Grimaldo,ESP,DF,0,0,0,0
12,Ben Old,NZL,MF,0,1,9,1
12,Ivan Sunjic,BIH,MF,0,9,62,14
12,Aaron Hickey,SCO,DF,0,1,16,5
12,Odiljon Xamrobekov,UZB,MF,0,2,24,4
12,Besfort Zeneli,SWE,MF,0,2,20,3
12,Dominic Hyam,SCO,DF,0,0,0,0
12,Jesper Karlstrom,SWE,MF,0,7,38,7
12,Azizjon Ganiev,UZB,MF,0,6,60,5
12,Hakan Calhanoglu,TUR,MF,0,11,28,5
12,Liberato Cacace,NZL,DF,0,5,36,6
12,Irfan Can Kahveci,TUR,FW,0,0,0,0
12,David Jurasek,CZE,DF,0,0,0,0
12,Jamshid Iskanderov,UZB,MF,0,0,0,0
12,Salih Ozcan,TUR,MF,0,2,2,1
12,Abbosbek Fayzullaev,UZB,MF,0,12,84,16
12,Aiden Oneill,AUS,MF,0,17,65,9
12,Victor Lindelof,SWE,DF,0,2,10,4
12,Silvan Widmer,SUI,DF,0,6,22,6
12,Luca Jaquez,SUI,DF,0,3,15,4
12,Akmal Mozgovoy,UZB,MF,0,2,53,3
12,Alexandr Sojka,CZE,MF,0,18,84,9
12,Benjamin Nygren,SWE,MF,0,4,62,13
12,Marc Pubill,ESP,DF,0,0,0,0
12,Nikola Vasilj,BIH,GK,0,0,0,0
12,Jackson Irvine,AUS,MF,0,0,14,1
12,Marko Stamenic,NZL,MF,0,8,48,12
12,Mikel Merino,ESP,MF,0,4,24,4
12,Ajdin Hrustic,AUS,FW,0,0,0,0
12,Elijah Just,NZL,MF,0,14,82,8
12,Herman Johansson,SWE,DF,0,0,0,0
12,Christian Fassnacht,SUI,FW,0,0,8,2
12,Avazbek Ulmasaliyev,UZB,DF,0,0,0,0
12,Granit Xhaka,SUI,MF,0,9,46,9
12,Eren Elmali,TUR,DF,0,0,3,1
12,Haris Tabakovic,BIH,FW,0,0,0,0
12,Patrick Beach,AUS,GK,0,0,0,0
12,Francis De Vries,NZL,DF,0,1,0,0
12,John Souttar,SCO,DF,0,0,0,0
12,George Hirst,SCO,FW,0,0,0,0
12,Ben Waine,NZL,FW,0,0,0,0
12,Aziz Behich,AUS,DF,0,1,10,4
12,Caglar Soyuncu,TUR,DF,0,0,0,0
12,Sherzod Esanov,UZB,MF,0,0,2,0
12,Michael Woud,NZL,GK,0,0,0,0
12,Unai Simon,ESP,GK,0,0,0,0
12,Awer Mabil,AUS,FW,0,0,0,0
12,Alexander Bernhardsson,SWE,DF,0,9,52,6
12,Chris Wood,NZL,FW,0,4,48,3
12,Lewis Ferguson,SCO,MF,0,15,87,28
12,Ivan Basic,BIH,MF,0,5,39,8
12,Fabian Ruiz,ESP,MF,0,3,23,1
12,Finn Surman,NZL,DF,0,3,20,7
12,Edin Dzeko,BIH,FW,0,4,61,1
12,Harry Souttar,AUS,DF,0,1,12,4
12,Eric Smith,SWE,DF,0,0,0,0
12,Cameron Devlin,AUS,MF,0,0,0,0
12,Mathew Ryan,AUS,GK,0,0,0,0
12,Sherzod Nasrullaev,UZB,DF,0,2,16,2
12,Yunus Akgun,TUR,FW,0,3,12,4
12,Nando Pijnaker,NZL,DF,0,0,0,0
12,Sarpreet Singh,NZL,MF,0,6,87,5
12,Eric Garcia,ESP,DF,0,0,0,0
12,Ermedin Demirovic,BIH,FW,0,17,110,10
12,Denis Visinsky,CZE,FW,0,4,20,0
12,Joan Garcia,ESP,GK,0,0,0,0
12,Mojmir Chytil,CZE,FW,0,1,4,1
12,David Doudera,CZE,DF,0,1,23,0
12,Breel Embolo,SUI,FW,0,24,82,12
12,Daniel Svensson,SWE,DF,0,1,2,1
12,Benjamin Tahirovic,BIH,MF,0,11,77,7
12,Elliot Stroud,SWE,DF,0,2,4,0
12,Amar Dedic,BIH,DF,0,12,59,8
12,Jason Geria,AUS,DF,0,1,21,3
