Posição,Jogador,País,Posição Campo,Faltas cometidas,Faltas sofridas,Cartões amarelos,Cartões vermelhos,Cartões vermelhos indiretos,Impedimentos
1,Andres Cubas,PAR,MF,10,1,0,0,0,0
2,Ermedin Demirovic,BIH,FW,8,2,1,0,0,1
2,Behruzjon Karimov,UZB,DF,8,4,0,0,0,0
4,Aleksandar Pavlovic,GER,MF,7,2,0,0,0,0
4,Martin Experience,HAI,DF,7,6,0,0,0,0
4,Lee Hanbeom,KOR,DF,7,3,0,0,0,0
4,Jassem Gaber,QAT,DF,7,0,1,0,0,0
8,Robin Hranac,CZE,DF,6,0,0,0,0,0
8,Ladislav Krejci,CZE,DF,6,2,1,0,0,0
8,Ricardo Rodriguez,SUI,DF,6,1,0,0,0,0
8,Breel Embolo,SUI,FW,6,8,0,0,0,2
8,Chris Richards,USA,DF,6,2,1,0,0,0
8,Carlos Harvey,PAN,DF,6,2,1,0,0,0
8,Ricardo Ade,HAI,DF,6,4,0,0,0,0
8,Neil El Aynaoui,MAR,MF,6,6,0,0,0,0
8,Lenny Joseph,HAI,FW,6,1,0,0,0,0
8,Jordan Ayew,GHA,FW,6,5,0,0,0,1
8,Thomas Meunier,BEL,DF,6,0,0,0,0,0
19,Elliot Anderson,ENG,MF,5,5,0,0,0,0
19,David Moller Wolfe,NOR,DF,5,1,0,0,0,0
19,Xaver Schlager,AUT,MF,5,0,0,0,0,0
19,Eldor Shomurodov,UZB,FW,5,4,0,0,0,1
19,Ivan Sunjic,BIH,MF,5,0,0,0,0,0
19,Abdulla Abdullaev,UZB,DF,5,1,0,0,0,0
19,Sead Kolasinac,BIH,DF,5,4,0,0,0,0
19,Lewis Ferguson,SCO,MF,5,10,0,0,0,0
19,Lawrence Shankland,SCO,FW,5,3,0,0,0,1
19,Samuel Moutoussamy,COD,MF,5,1,0,0,0,0
19,Edo Kayembe,COD,MF,5,3,0,0,0,0
19,Luc De Fougerolles,CAN,DF,5,6,1,0,0,0
19,Danley Jean Jacques,HAI,MF,5,3,1,0,0,0
19,Antoine Semenyo,GHA,MF,5,1,0,0,0,2
19,Carlens Arcus,HAI,DF,5,3,1,0,0,2
19,Frantzdy Pierrot,HAI,FW,5,4,1,0,0,2
