Posição,Jogador,País,Posição Campo,Passes,Precisão dos passes (%),Cruzamentos,Precisão dos cruzamentos (%),Tentativas de ruptura da linha defensiva,Precisão das rupturas da linha defensiva ((%)),Tentativas de mudança de direção do jogo,Precisão das mudanças de direção do jogo ((%))
1,Gabriel Magalhaes,BRA,DF,260,96,0,0,1,0,0,0
2,Manuel Akanji,SUI,DF,251,92,0,0,5,100,5,100
3,Marquinhos,BRA,DF,245,97,0,0,4,75,5,100
4,Rodri,ESP,MF,243,94,1,0,9,100,3,100
5,Granit Xhaka,SUI,MF,239,91,1,0,7,43,7,100
6,Lee Gihyuk,KOR,MF,236,92,4,0,3,0,4,100
7,Kim Minjae,KOR,DF,226,98,0,0,0,0,0,0
7,Vitinha,POR,MF,226,95,0,0,4,75,6,100
9,Nico Elvedi,SUI,DF,222,95,0,0,2,50,2,100
10,Hwang Inbeom,KOR,MF,218,89,3,67,5,80,2,100
11,Achraf Hakimi,MAR,DF,214,93,21,38,4,75,6,83
12,Pau Cubarsi,ESP,DF,204,99,0,0,1,100,1,100
13,Lewis Ferguson,SCO,MF,201,92,9,11,3,33,1,100
14,Lee Hanbeom,KOR,DF,200,92,2,50,3,33,1,100
15,Aymeric Laporte,ESP,DF,199,95,0,0,3,100,5,100
16,Abdulkerim Bardakci,TUR,DF,193,96,6,33,3,33,0,0
16,Aissa Mandi,ALG,DF,193,92,0,0,4,25,4,75
18,Hakan Calhanoglu,TUR,MF,190,90,10,10,5,60,7,86
18,Ezri Konsa,ENG,DF,190,96,0,0,1,100,1,100
20,Ime Okon,RSA,DF,188,93,0,0,0,0,1,100
20,Neil El Aynaoui,MAR,MF,188,90,0,0,2,0,2,50
22,Mathias Olivera,URU,DF,182,96,1,0,3,100,2,100
23,Jack Hendry,SCO,DF,180,95,0,0,2,0,1,0
24,Virgil Van Dijk,NED,DF,179,94,0,0,1,100,0,0
24,Ricardo Rodriguez,SUI,DF,179,80,10,10,16,38,4,50
26,Ferdi Kadioglu,TUR,DF,175,92,4,0,9,78,1,0
27,Chadi Riad,MAR,DF,174,93,0,0,1,0,1,100
28,Chris Richards,USA,DF,173,98,0,0,2,0,1,100
29,Remo Freuler,SUI,MF,171,92,3,33,4,75,0,0
29,Ramy Bensebaini,ALG,DF,171,92,0,0,3,0,1,100
31,Moises Caicedo,ECU,MF,169,90,9,56,6,50,1,100
