Posição,Jogador,País,Posição Campo,Velocidade média (km/h),Corridas em alta velocidade,Arrancadas,Distância total (m)
1,Giovanni Reyna,USA,MF,8.73,42,10,2545.71
2,Matias Fernandez Pardo,BEL,FW,8.22,37,20,2497.05
3,Jesse Randall,NZL,FW,8.19,37,25,3477.09
4,Alexandr Sojka,CZE,MF,8.04,321,108,19628.07
5,Abdullah Alhamddan,KSA,FW,8.01,114,44,6943.92
6,Andrej Kramaric,CRO,FW,7.86,141,44,8703.29
7,Bernardo Silva,POR,MF,7.83,135,45,8893.5
8,Samir El Mourabet,MAR,MF,7.76,111,44,7005.23
9,Rayan Cherki,FRA,MF,7.74,79,29,4963.07
10,Jacob Shaffelburg,CAN,MF,7.73,126,66,9824.74
11,Rani Khedira,TUN,MF,7.71,125,33,10357.3
12,Zaid Ismael,IRQ,MF,7.69,243,58,16240.49
13,Timothy Castagne,BEL,DF,7.69,176,70,12427.47
14,Aleksandar Pavlovic,GER,MF,7.65,328,104,21098.83
15,Ala Alhajji,KSA,MF,7.62,98,33,5355.08
16,Ryan Christie,SCO,MF,7.62,208,53,14260.28
17,Morgan Rogers,ENG,MF,7.6,75,24,6017.05
18,Jackson Irvine,AUS,MF,7.57,73,24,4167.1
19,Mahmoud Almardi,JOR,FW,7.54,234,60,12957.37
20,Benjamin Nygren,SWE,MF,7.53,238,81,16064.18
21,Fredrik Aursnes,NOR,MF,7.53,267,77,15662.71
22,Teun Koopmeiners,NED,MF,7.53,133,40,7823.75
23,Noor Alrawabdeh,JOR,MF,7.51,454,98,26116.83
24,Musab Aljuwayr,KSA,MF,7.5,228,57,14572.9
25,Elias Saad,TUN,FW,7.48,199,86,15480.51
26,Soufiane Rahimi,MAR,FW,7.47,100,47,6339.24
27,Tyler Bindon,NZL,DF,7.45,36,14,2355.94
28,Ali Azaizeh,JOR,FW,7.43,46,16,3425.14
29,Ramiz Zerrouki,ALG,MF,7.43,85,21,7700.25
30,Pedri,ESP,MF,7.36,297,80,21456.88
31,Charles Pickel,COD,MF,7.34,77,35,5540.28
32,Shahriyar Moghanloo,IRN,FW,7.34,115,36,8629.64
33,Michael Olise,FRA,FW,7.32,246,117,21379.94
34,Leon Goretzka,GER,MF,7.31,57,22,4287.39
