Posição,Jogador,País,Posição Campo,Defesas da goleira,Ações do goleiro dentro da área penal,Ações do goleiro fora da área penal
1,Eloy Room,CUW,GK,20,72,65
2,Mahmoud Abunada,QAT,GK,16,124,103
3,Mohammed Alowais,KSA,GK,14,67,60
4,Alireza Beiranvand,IRN,GK,13,50,45
4,Johny Placide,HAI,GK,13,56,48
6,Kim Seunggyu,KOR,GK,11,42,34
6,Alisson,BRA,GK,11,47,41
6,Orlando Gill,PAR,GK,11,74,64
6,Matej Kovar,CZE,GK,11,60,52
6,Gregor Kobel,SUI,GK,11,38,34
6,Dominik Livakovic,CRO,GK,11,48,39
12,Bart Verbruggen,NED,GK,9,32,29
12,Angus Gunn,SCO,GK,9,75,64
12,Lionel Mpasi,COD,GK,9,47,39
12,Ronwen Williams,RSA,GK,9,57,47
12,Patrick Beach,AUS,GK,9,54,48
12,Hernan Galindez,ECU,GK,9,36,34
18,Nikola Vasilj,BIH,GK,8,71,55
18,Edouard Mendy,SEN,GK,8,34,25
20,Mostafa Shoubir,EGY,GK,7,44,40
20,Yassine Bounou,MAR,GK,7,45,39
20,Zion Suzuki,JPN,GK,7,20,19
20,Vozinha,CPV,GK,7,83,61
20,Yazeed Abulaila,JOR,GK,7,49,39
20,Thibaut Courtois,BEL,GK,7,39,30
26,Luca Zidane,ALG,GK,6,22,20
26,Benjamin Asare,GHA,GK,6,38,33
26,Yahia Fofana,CIV,GK,6,52,41
26,Max Crocombe,NZL,GK,6,54,48
26,Alexander Schlager,AUT,GK,6,36,31
31,Raul Rangel,MEX,GK,5,35,28
32,Fernando Muslera,URU,GK,4,31,25
32,Abduvohid Nematov,UZB,GK,4,28,21
32,Kristoffer Nordfeldt,SWE,GK,4,22,20
32,Maxime Crepeau,CAN,GK,4,32,25
36,Jordan Pickford,ENG,GK,3,26,18
36,Orjan Nyland,NOR,GK,3,38,33
36,Diogo Costa,POR,GK,3,30,23
36,Unai Simon,ESP,GK,3,23,17
36,Ugurcan Cakir,TUR,GK,3,32,24
36,Camilo Vargas,COL,GK,3,21,21
36,Orlando Mosquera,PAN,GK,3,22,18
36,Matt Freese,USA,GK,3,17,15
44,Aymen Dahmen,TUN,GK,2,17,15
44,Ahmed Basil,IRQ,GK,2,27,23
44,Manuel Neuer,GER,GK,2,20,19
44,Mike Maignan,FRA,GK,2,17,14
48,Lawrence Ati Zigi,GHA,GK,1,9,8
48,Mouhib Chamakh,TUN,GK,1,26,20
48,Emiliano Martinez,ARG,GK,1,23,19
48,Jalal Hassan,IRQ,GK,1,28,23
48,Utkir Yusupov,UZB,GK,1,27,21
53,Marvin Keller,SUI,GK,0,0,0
53,Jindrich Stanek,CZE,GK,0,0,0
53,Viktor Johansson,SWE,GK,0,0,0
53,Mert Gunok,TUR,GK,0,0,0
53,Mathew Ryan,AUS,GK,0,0,0
53,Lukas Hornicek,CZE,GK,0,0,0
53,Botirali Ergashev,UZB,GK,0,0,0
53,Paul Izzo,AUS,GK,0,0,0
53,Jacob Widell Zetterstrom,SWE,GK,0,0,0
53,Yvon Mvogo,SUI,GK,0,0,0
53,Liam Kelly,SCO,GK,0,0,0
53,David Raya,ESP,GK,0,0,0
53,Michael Woud,NZL,GK,0,0,0
53,Joan Garcia,ESP,GK,0,0,0
53,Altay Bayindir,TUR,GK,0,0,0
53,Alex Paulsen,NZL,GK,0,0,0
53,Alexandre Pierre,HAI,GK,0,0,0
53,Dayne St Clair,CAN,GK,0,0,0
53,Sipho Chaine,RSA,GK,0,0,0
53,Joseph Anang,GHA,GK,0,0,0
53,Ahmed Reda Tagnaouti,MAR,GK,0,0,0
53,Josue Duverger,HAI,GK,0,0,0
53,Ricardo Goss,RSA,GK,0,0,0
53,Mohamed Kone,CIV,GK,0,0,0
53,Mahdy Soliman,EGY,GK,0,0,0
53,Mory Diaw,SEN,GK,0,4,4
53,Sabri Ben Hessen,TUN,GK,0,0,0
53,Mohamed Elshenawy,EGY,GK,0,0,0
53,Owen Goodman,CAN,GK,0,0,0
53,Yehvann Diouf,SEN,GK,0,0,0
53,Mohamed Alaa,EGY,GK,0,0,0
53,Munir El Kajoui,MAR,GK,0,0,0
53,Alban Lafont,CIV,GK,0,0,0
53,Trevor Doornbusch,CUW,GK,0,0,0
53,Martin Zlomislic,BIH,GK,0,0,0
53,Mladen Jurkas,BIH,GK,0,0,0
53,Tyrick Bodak,CUW,GK,0,0,0
53,Mark Flekken,NED,GK,0,0,0
53,Alexander Nuebel,GER,GK,0,0,0
53,Egil Selvik,NOR,GK,0,0,0
53,Florian Wiegele,AUT,GK,0,0,0
53,Craig Gordon,SCO,GK,0,0,0
53,James Trafford,ENG,GK,0,0,0
53,Oliver Baumann,GER,GK,0,0,0
53,Ivor Pandur,CRO,GK,0,0,0
53,Robin Roefs,NED,GK,0,0,0
53,Dean Henderson,ENG,GK,0,0,0
53,Jose Sa,POR,GK,0,0,0
53,Rui Silva,POR,GK,0,0,0
53,Brice Samba,FRA,GK,0,0,0
53,Patrick Pentz,AUT,GK,0,0,0
53,Senne Lammens,BEL,GK,0,0,0
53,Robin Risser,FRA,GK,0,0,0
53,Mike Penders,BEL,GK,0,0,0
53,Sander Tangvik,NOR,GK,0,0,0
53,Dominik Kotarski,CRO,GK,0,0,0
53,Nawaf Alaqidi,KSA,GK,0,0,0
53,Ahmed Alkassar,KSA,GK,0,0,0
53,Cj Dos Santos,CPV,GK,0,0,0
53,Marcio Rosa,CPV,GK,0,0,0
53,Jo Hyeonwoo,KOR,GK,0,0,0
53,Melvin Mastil,ALG,GK,0,0,0
53,Meshaal Barsham,QAT,GK,0,0,0
53,Hossein Hosseini,IRN,GK,0,0,0
53,Song Bumkeun,KOR,GK,0,0,0
53,Tomoki Hayakawa,JPN,GK,0,0,0
