Posição,Jogador,País,Posição Campo,Gols,Assistências,Minutos jogados
1,Lionel Messi,ARG,FW,5,0,187
2,Vinicius Junior,BRA,FW,4,1,293
3,Kylian Mbappe,FRA,FW,4,0,199
4,Erling Haaland,NOR,FW,4,0,207
5,Deniz Undav,GER,FW,3,2,69
6,Johan Manzambi,SUI,MF,3,1,146
7,Matheus Cunha,BRA,FW,3,0,191
8,Ismael Saibari,MAR,MF,3,0,255
9,Jonathan David,CAN,FW,3,0,270
10,Crysencio Summerville,NED,FW,2,1,123
11,Mikel Oyarzabal,ESP,FW,2,1,149
12,Maxi Araujo,URU,MF,2,1,173
13,Ayase Ueda,JPN,FW,2,1,174
14,Cody Gakpo,NED,FW,2,1,181
15,Ruben Vargas,SUI,FW,2,1,193
16,Ermin Mahmic,BIH,MF,2,0,39
17,Brian Brobbey,NED,FW,2,0,88
18,Daichi Kamada,JPN,MF,2,0,176
19,Folarin Balogun,USA,FW,2,0,179
20,Yasin Ayari,SWE,MF,2,0,183
21,Ismaila Sarr,SEN,FW,2,0,185
22,Cyle Larin,CAN,FW,2,0,187
23,Elijah Just,NZL,MF,2,0,190
24,Kai Havertz,GER,FW,2,0,192
25,Cristiano Ronaldo,POR,FW,2,0,201
26,Harry Kane,ENG,FW,2,0,204
27,Daniel Munoz,COL,DF,2,0,206
28,Julian Quinones,MEX,FW,2,0,269
29,Alexander Isak,SWE,FW,1,3,194
30,Nathan Saliba,CAN,MF,1,2,145
31,Mohamed Salah,EGY,FW,1,2,168
32,Breel Embolo,SUI,FW,1,2,282
33,Soufiane Rahimi,MAR,FW,1,1,53
34,Promise David,CAN,FW,1,1,57
35,Luis Romo,MEX,MF,1,1,140
36,Ousmane Dembele,FRA,FW,1,1,155
37,Mostafa Zico,EGY,MF,1,1,159
38,Keito Nakamura,JPN,MF,1,1,181
39,Felix Nmecha,GER,MF,1,1,181
40,Nathaniel Brown,GER,DF,1,1,181
41,Luis Diaz,COL,FW,1,1,198
42,Viktor Gyokeres,SWE,FW,1,1,200
43,Ramin Rezaeian,IRN,DF,1,1,204
44,Alex Freeman,USA,DF,1,1,209
45,Hwang Inbeom,KOR,MF,1,1,286
46,Achraf Hakimi,MAR,DF,1,1,308
47,Mattias Svanberg,SWE,MF,1,0,13
48,Giovanni Reyna,USA,MF,1,0,19
49,Trezeguet,EGY,FW,1,0,24
50,Gessime Yassine,MAR,MF,1,0,28
51,Jaminton Campaz,COL,FW,1,0,28
52,Rafael Leao,POR,FW,1,0,36
53,Marcus Rashford,ENG,FW,1,0,37
54,Helio Varela,CPV,MF,1,0,40
55,Leo Ostigard,NOR,DF,1,0,41
56,Anthony Elanga,SWE,FW,1,0,47
57,Ante Budimir,CRO,FW,1,0,50
58,Nadhir Benbouali,ALG,FW,1,0,52
59,Mauricio,PAR,MF,1,0,53
60,Hassan Alhaydos,QAT,FW,1,0,69
61,Ibrahim Mbaye,SEN,FW,1,0,71
62,Lamine Yamal,ESP,FW,1,0,74
63,Jovo Lukic,BIH,FW,1,0,77
64,Mateo Chavez,MEX,DF,1,0,81
65,Marko Arnautovic,AUT,FW,1,0,88
66,Marcus Holmgren Pedersen,NOR,DF,1,0,92
67,Alvaro Fidalgo,MEX,MF,1,0,93
68,Matias Galarza,PAR,MF,1,0,101
69,Bradley Barcola,FRA,FW,1,0,105
70,Nestory Irankunda,AUS,FW,1,0,117
71,Petar Musa,CRO,FW,1,0,119
72,Amad Diallo,CIV,FW,1,0,124
73,Aymen Hussein,IRQ,FW,1,0,128
74,Junya Ito,JPN,MF,1,0,130
75,Jamal Musiala,GER,MF,1,0,135
76,Oh Hyeongyu,KOR,FW,1,0,145
77,Nico Schlotterbeck,GER,DF,1,0,152
78,Connor Metcalfe,AUS,MF,1,0,153
79,Amine Gouiri,ALG,FW,1,0,158
80,Agustin Canobbio,URU,MF,1,0,159
81,Abbosbek Fayzullaev,UZB,MF,1,0,160
82,Emam Ashour,EGY,MF,1,0,162
83,Raul Jimenez,MEX,FW,1,0,163
84,Jude Bellingham,ENG,MF,1,0,164
85,Thapelo Maseko,RSA,FW,1,0,166
86,Abdulelah Alamri,KSA,DF,1,0,167
87,Romano Schmid,AUT,MF,1,0,171
