Posição,Jogador,País,Posição Campo,Pedidos de bola,Pedidos atrás,Pedidos entre,Pedidos na frente,Pedidos dentro da forma coletiva,Pedidos fora da forma coletiva,Recepções atrás,Recepções entre as linhas defensiva e de meio-campo,Recepções sob pressão,Participações do jogador
1,Neil El Aynaoui,MAR,MF,216,27,66,123,152,64,1,16,88,404
2,Lewis Ferguson,SCO,MF,210,1,73,136,146,64,0,1,44,427
3,Arda Guler,TUR,FW,189,19,80,90,107,82,4,27,75,348
3,Pedro Vite,ECU,MF,189,9,82,98,115,74,1,17,50,352
5,Daniel Munoz,COL,DF,188,65,62,61,22,166,4,20,29,221
5,Ismael Saibari,MAR,MF,188,95,78,15,111,77,8,44,62,187
7,Bruno Guimaraes,BRA,MF,183,28,99,56,138,45,4,30,53,278
7,Julian Quinones,MEX,FW,183,76,88,19,88,95,3,58,100,226
9,Hwang Inbeom,KOR,MF,177,12,64,101,135,42,3,11,68,459
10,Lee Kangin,KOR,MF,161,12,71,78,62,99,0,42,108,376
11,Vinicius Junior,BRA,FW,160,73,68,19,72,88,13,49,77,228
12,Oswin Appollis,RSA,FW,155,59,79,17,71,84,0,30,48,158
13,Achraf Hakimi,MAR,DF,154,37,80,37,60,94,7,53,92,482
14,Lucas Paqueta,BRA,MF,150,12,78,60,86,64,0,13,57,313
14,Remo Freuler,SUI,MF,150,28,59,63,114,36,3,16,63,368
16,Anis Slimane,TUN,MF,148,33,77,38,124,24,0,18,29,131
17,Granit Xhaka,SUI,MF,147,1,51,95,103,44,0,18,49,508
18,Bruno Fernandes,POR,MF,144,32,75,37,87,57,3,41,55,341
19,Pedri,ESP,MF,143,20,46,77,107,36,4,28,59,377
20,Elliot Anderson,ENG,MF,140,5,35,100,105,35,1,4,66,282
21,Azzedine Ounahi,MAR,MF,139,34,57,48,78,61,1,34,49,247
22,Luis Diaz,COL,FW,135,64,61,10,62,73,5,41,44,169
23,Paik Seungho,KOR,MF,134,4,43,87,92,42,1,10,67,317
24,Kevin De Bruyne,BEL,MF,133,53,46,34,68,65,4,35,43,220
24,Stephen Eustaquio,CAN,MF,133,18,36,79,71,62,1,21,54,367
26,Amine Gouiri,ALG,FW,127,37,80,10,99,28,2,21,28,90
26,Roberto Alvarado,MEX,FW,127,43,60,24,49,78,3,45,59,267
28,Weston Mckennie,USA,MF,126,40,67,19,63,63,10,37,66,199
29,Ibrahim Maza,ALG,MF,125,22,70,33,81,44,4,30,70,194
29,Marc Cucurella,ESP,DF,125,67,29,29,37,88,11,50,33,277
31,Fares Chaibi,ALG,MF,123,28,61,34,70,53,4,33,62,244
32,Gonzalo Plata,ECU,FW,122,21,86,15,84,38,3,58,48,222
33,Jude Bellingham,ENG,MF,119,28,64,27,93,26,2,21,47,126
34,Daichi Kamada,JPN,MF,118,14,48,56,63,55,0,20,26,196
34,Alistair Johnston,CAN,DF,118,36,35,47,28,90,7,34,43,323
36,Scott Mctominay,SCO,MF,117,37,45,35,71,46,0,32,64,226
37,Martin Experience,HAI,DF,116,41,45,30,32,84,1,25,47,243
38,Hannibal Mejbri,TUN,MF,114,18,71,25,63,51,1,22,47,205
38,Martin Odegaard,NOR,MF,114,13,68,33,75,39,4,31,42,206
38,Elijah Just,NZL,MF,114,28,74,12,70,44,1,26,39,139
41,Jonathan David,CAN,FW,113,41,51,21,72,41,9,54,59,183
41,Kai Havertz,GER,FW,113,56,46,11,68,45,4,42,48,163
43,Fabian Ruiz,ESP,MF,112,15,40,57,72,40,2,12,30,227
44,Kylian Mbappe,FRA,FW,111,56,31,24,75,36,7,49,43,159
45,Konrad Laimer,AUT,MF,110,38,50,22,56,54,5,26,64,202
45,Teboho Mokoena,RSA,MF,110,7,37,66,65,45,0,5,55,308
47,Jean Ricner Bellegarde,HAI,MF,109,8,53,48,82,27,0,17,58,299
47,Sarpreet Singh,NZL,MF,109,31,60,18,49,60,1,48,54,165
47,Youri Tielemans,BEL,MF,109,37,36,36,80,29,2,24,38,228
50,Joao Neves,POR,MF,108,35,34,39,81,27,2,22,57,311
50,Rodrigo De Paul,ARG,MF,108,11,54,43,53,55,2,13,41,225
52,Rodrigo Bentancur,URU,MF,107,19,39,49,87,20,0,12,48,294
53,Vitinha,POR,MF,106,4,38,64,80,26,0,3,50,464
54,Reece James,ENG,DF,104,20,34,50,46,58,3,12,25,256
54,Nicolas Seiwald,AUT,MF,104,11,30,63,72,32,1,4,42,239
54,Agustin Canobbio,URU,MF,104,50,39,15,30,74,5,37,44,147
54,Ferran Torres,ESP,FW,104,48,35,21,85,19,5,37,20,112
58,Matheus Cunha,BRA,FW,103,28,55,20,81,22,1,28,44,154
59,Maxi Araujo,URU,MF,102,62,32,8,56,46,7,26,39,113
59,Bilal El Khannouss,MAR,MF,102,21,66,15,32,70,5,49,68,329
59,Josip Stanisic,CRO,DF,102,26,32,44,20,82,2,13,28,165
59,Nathaniel Brown,GER,DF,102,40,32,30,43,59,5,29,49,184
63,Thiago Almada,ARG,FW,100,26,52,22,75,25,0,18,42,155
63,Ruben Providence,HAI,FW,100,31,61,8,44,56,4,27,47,144
63,Pavel Sulc,CZE,FW,100,39,59,2,55,45,4,36,47,129
63,Otabek Shukurov,UZB,MF,100,2,51,47,67,33,0,5,41,195
67,Michel Aebischer,SUI,MF,98,24,51,23,59,39,2,25,26,166
67,Gustavo Puerta,COL,DF,98,22,42,34,42,56,2,15,30,235
69,Danilo,BRA,DF,97,27,24,46,22,75,3,9,34,344
69,Moises Caicedo,ECU,MF,97,5,47,45,78,19,0,17,32,367
69,Tijjani Reijnders,NED,MF,97,31,36,30,64,33,0,16,22,91
69,Son Heungmin,KOR,FW,97,51,34,12,70,27,6,35,50,142
69,Lawrence Shankland,SCO,FW,97,46,45,6,80,17,1,29,30,83
69,Ferdi Kadioglu,TUR,DF,97,30,33,34,36,61,2,32,41,353
69,Marawan Attia,EGY,MF,97,3,28,66,47,50,0,14,55,292
69,Ayyoub Bouaddi,MAR,MF,97,7,27,63,58,39,0,11,67,284
77,Noni Madueke,ENG,FW,96,42,41,13,21,75,5,32,30,129
77,Tyler Adams,USA,MF,96,1,18,77,70,26,0,7,35,260
77,Folarin Balogun,USA,FW,96,44,50,2,72,24,11,33,39,90
77,Ayase Ueda,JPN,FW,96,50,44,2,85,11,2,21,31,60
81,Keito Nakamura,JPN,MF,95,35,46,14,17,78,1,32,44,153
81,Aleksandar Pavlovic,GER,MF,95,3,36,56,68,27,0,13,36,298
81,Frenkie De Jong,NED,MF,95,1,23,71,67,28,0,2,35,264
81,Callum Mccowatt,NZL,MF,95,29,48,18,46,49,3,21,41,153
85,Rodri,ESP,MF,94,3,19,72,66,28,1,16,88,505
85,Ali Ahmed,CAN,FW,94,42,39,13,31,63,4,40,33,153
85,Federico Vinas,URU,FW,94,51,38,5,71,23,4,16,19,63
85,Facundo Medina,ARG,DF,94,19,29,46,13,81,1,11,26,180
85,Sergino Dest,USA,DF,94,46,36,12,41,53,2,35,30,143
90,Edson Alvarez,MEX,DF,93,2,27,64,66,27,0,2,35,265
90,Guillermo Varela,URU,DF,93,30,32,31,18,75,4,23,28,228
90,Ramin Rezaeian,IRN,DF,93,11,36,46,14,79,2,9,26,159
90,Lamine Camara,SEN,MF,93,24,46,23,66,27,1,19,51,145
94,Brahim Diaz,MAR,FW,92,32,47,13,49,43,3,48,70,223
94,Edgar Yoel Barcenas,PAN,MF,92,4,52,36,64,28,1,9,39,208
94,Amir Murillo,PAN,DF,92,33,40,19,13,79,5,19,43,193
94,Jamal Musiala,GER,MF,92,14,55,23,71,21,5,32,56,133
98,Cedric Bakambu,COD,FW,91,52,39,0,69,22,2,22,21,47
98,Kaishu Sano,JPN,MF,91,4,22,65,72,19,1,4,27,220
100,Brian Gutierrez,MEX,MF,90,20,53,17,62,28,1,20,27,100
101,Breel Embolo,SUI,FW,89,60,29,0,80,9,8,38,49,100
101,Anthony Gordon,ENG,FW,89,32,40,17,38,51,3,30,41,93
103,Enzo Fernandez,ARG,MF,88,11,38,39,54,34,1,26,27,298
103,Omar Marmoush,EGY,FW,88,44,42,2,55,33,3,34,39,102
103,Riyad Mahrez,ALG,FW,88,45,30,13,34,54,3,18,41,130
106,Sadio Mane,SEN,FW,87,47,32,8,40,47,5,39,52,159
107,Nicolas Jackson,SEN,FW,86,49,28,9,66,20,4,24,29,85
107,Raphinha,BRA,FW,86,39,41,6,40,46,5,28,37,120
107,Seol Youngwoo,KOR,DF,86,42,38,6,42,44,9,39,58,258
107,Vladimir Coufal,CZE,DF,86,42,29,15,11,75,3,27,44,252
111,Gavi,ESP,MF,85,26,42,17,60,25,1,20,20,68
111,Kerim Alajbegovic,BIH,FW,85,23,48,14,21,64,2,36,54,159
111,Cristiano Ronaldo,POR,FW,85,48,32,5,66,19,4,27,30,99
111,Romano Schmid,AUT,MF,85,27,47,11,44,41,3,25,45,119
111,Erik Lira,MEX,MF,85,0,45,40,65,20,0,8,30,193
111,Jefferson Lerma,COL,MF,85,0,20,65,73,12,0,5,28,225
117,Gilberto Mora,MEX,MF,84,15,48,21,55,29,0,16,20,89
117,Manuel Ugarte,URU,MF,84,1,17,66,64,20,0,3,53,263
117,Malik Tillman,USA,MF,84,15,49,20,53,31,6,41,61,228
117,Richie Laryea,CAN,DF,84,32,28,24,35,49,6,18,36,315
117,Ermedin Demirovic,BIH,FW,84,51,26,7,67,17,3,32,47,97
122,Chris Wood,NZL,FW,83,33,49,1,58,25,0,47,45,100
122,Aubrey Modiba,RSA,DF,83,21,43,19,17,66,1,20,33,218
122,Juan Manuel Sanabria,URU,MF,83,51,24,8,21,62,5,26,41,201
122,Akram Afif,QAT,FW,83,23,54,6,42,41,2,40,69,217
126,Emam Ashour,EGY,MF,82,26,46,10,37,45,4,27,28,190
126,Tani Oluwaseyi,CAN,FW,82,64,17,1,66,16,1,27,32,67
128,Luis Suarez,COL,FW,81,36,45,0,76,5,1,17,19,46
128,Xaver Schlager,AUT,MF,81,2,30,49,63,18,0,7,41,226
130,Pedro Neto,POR,FW,80,37,32,11,19,61,6,36,24,144
130,Fredrik Aursnes,NOR,MF,80,19,38,23,56,24,1,7,27,97
130,Leandro Trossard,BEL,FW,80,27,36,17,40,40,2,48,50,225
130,Florian Wirtz,GER,MF,80,28,34,18,40,40,3,62,58,315
130,Rayan Ait Nouri,ALG,DF,80,21,32,27,21,59,4,29,53,262
130,Junya Ito,JPN,MF,80,26,35,19,39,41,4,29,38,147
130,Andres Andrade,PAN,DF,80,3,23,54,16,64,0,1,64,304
130,Luis Romo,MEX,MF,80,18,36,26,56,24,1,7,46,140
138,Romelu Lukaku,BEL,FW,79,44,33,2,69,10,1,24,23,53
138,Jules Kounde,FRA,DF,79,34,21,24,30,49,2,23,24,234
138,Hakan Calhanoglu,TUR,MF,79,8,27,44,53,26,2,9,54,420
